LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-06-06 09:22:16,1900-01-00 00:00:00,,CE:C9:0C:33:0D:12,-17, ,0.000000,0.000000,0.000,0.000,AP
2026-06-06 09:22:16,1900-01-00 00:00:00,Fifth Ace Hotspot ,CE:C9:0C:33:0D:12,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-06-06 09:22:17,1900-01-00 00:00:00,Fifth Ace Hotspot ,CE:C9:0C:33:0D:12,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-06-06 09:22:17,1900-01-00 00:00:00,Fifth Ace Hotspot ,CE:C9:0C:33:0D:12,-17, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-06-06 09:22:17,1900-01-00 00:00:00,Fifth Ace Hotspot ,CE:C9:0C:33:0D:12,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-06-06 09:22:17,1900-01-00 00:00:00,Fifth Ace Hotspot ,CE:C9:0C:33:0D:12,-17, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-06-06 09:22:17,1900-01-00 00:00:00,Fifth Ace Hotspot ,CE:C9:0C:33:0D:12,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-06-06 09:22:17,1900-01-00 00:00:00,Fifth Ace Hotspot ,CE:C9:0C:33:0D:12,-17, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-06-06 09:22:17,1900-01-00 00:00:00,Fifth Ace Hotspot ,CE:C9:0C:33:0D:12,-17, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-06-06 09:22:17,1900-01-00 00:00:00,Fifth Ace Hotspot ,CE:C9:0C:33:0D:12,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-06-06 09:22:17,1900-01-00 00:00:00,Fifth Ace Hotspot ,CE:C9:0C:33:0D:12,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
